x-axis,1,3,MATH1
second,Volt,Volt,Volt
+819.2500E-06,+902.0100407E-03,-1.1080401890E+00,+2.0019531250E+00
+819.5000E-06,+1.2010050125E+00,-1.1683416959E+00,+2.3608398438E+00
+819.7500E-06,+1.0904522494E+00,-1.4824120446E+00,+2.5683593750E+00
+820.0000E-06,+1.2135678259E+00,-1.6809045049E+00,+2.8906250000E+00
+820.2500E-06,+1.4296482258E+00,-1.5628140538E+00,+2.9858398438E+00
+820.5000E-06,+1.6457286257E+00,-1.6884421930E+00,+3.3276367188E+00
+820.7500E-06,+1.6206029980E+00,-1.7562813879E+00,+3.3691406250E+00
+821.0000E-06,+1.6859296303E+00,-1.9346733459E+00,+3.6157226562E+00
+821.2500E-06,+1.7688442022E+00,-1.9924622901E+00,+3.7524414062E+00
+821.5000E-06,+1.9246230952E+00,-1.9346733459E+00,+3.8574218750E+00
+821.7500E-06,+1.7462311372E+00,-2.1130653039E+00,+3.8574218750E+00
+822.0000E-06,+1.7713567648E+00,-2.1683416854E+00,+3.9355468750E+00
+822.2500E-06,+1.9296482205E+00,-2.0100502297E+00,+3.9355468750E+00
+822.5000E-06,+1.9346733459E+00,-1.9623115371E+00,+3.8940429688E+00
+822.7500E-06,+1.7110552580E+00,-2.0904522389E+00,+3.7942504882E+00
+823.0000E-06,+1.7663316395E+00,-2.0904522389E+00,+3.8546752931E+00
+823.2500E-06,+1.8944723413E+00,-1.8040200814E+00,+3.6914062500E+00
+823.5000E-06,+1.7261306349E+00,-1.8115577694E+00,+3.5351562500E+00
+823.7500E-06,+1.4472361654E+00,-1.9070351556E+00,+3.3471679688E+00
+824.0000E-06,+1.2914572724E+00,-1.7688442022E+00,+3.0520629881E+00
+824.2500E-06,+1.4472361654E+00,-1.5100502350E+00,+2.9516601562E+00
+824.5000E-06,+1.3291457143E+00,-1.3190954636E+00,+2.6416015627E+00
+824.7500E-06,+1.0100502402E+00,-1.4246231004E+00,+2.4270629882E+00
+825.0000E-06,+881.9095384E-03,-1.2110552632E+00,+2.0922851561E+00
+825.2500E-06,+884.4221011E-03,-902.0100407E-03,+1.7846679689E+00
+825.5000E-06,+766.3316500E-03,-804.0200919E-03,+1.5649414061E+00
+825.7500E-06,+459.7989902E-03,-746.2311477E-03,+1.2011718750E+00
+826.0000E-06,+243.7185902E-03,-640.7035108E-03,+878.9062500E-03
+826.2500E-06,+150.7537677E-03,-429.6482363E-03,+573.7304689E-03
+826.5000E-06,+42.7135673E-03,-241.2060276E-03,+275.8789061E-03
+826.7500E-06,-276.3819068E-03,-195.9798976E-03,-87.8906250E-03
+827.0000E-06,-394.4723579E-03,+2.5125627E-03,-404.9682619E-03
+827.2500E-06,-419.5979856E-03,+304.0200971E-03,-732.4218750E-03
+827.5000E-06,-643.2160735E-03,+359.2964787E-03,-1.0079956056E+00
+827.7500E-06,-929.6482310E-03,+494.9748694E-03,-1.4303588868E+00
+828.0000E-06,-1.0427135568E+00,+643.2160735E-03,-1.6870117189E+00
+828.2500E-06,-1.1080401890E+00,+884.4221011E-03,-1.9946289061E+00
+828.5000E-06,-1.2487437051E+00,+879.3969757E-03,-2.1362304689E+00
+828.7500E-06,-1.5854271188E+00,+964.8241103E-03,-2.5561523439E+00
+829.0000E-06,-1.6080401838E+00,+1.1281406913E+00,-2.7371215819E+00
+829.2500E-06,-1.5452261142E+00,+1.4120602862E+00,-2.9614257811E+00
+829.5000E-06,-1.8391959606E+00,+1.3768844069E+00,-3.2226562500E+00
+829.7500E-06,-2.0100502297E+00,+1.4020100355E+00,-3.4201049807E+00
+830.0000E-06,-1.8567838994E+00,+1.6834170676E+00,-3.5473632811E+00
+830.2500E-06,-1.8668341510E+00,+1.7688442022E+00,-3.6401367189E+00
+830.5000E-06,-2.0904522389E+00,+1.7261306349E+00,-3.8204956056E+00
+830.7500E-06,-2.2512562573E+00,+1.6080401838E+00,-3.8671875000E+00
+831.0000E-06,-2.1658291228E+00,+1.7713567648E+00,-3.9428710939E+00
+831.2500E-06,-2.0100502297E+00,+1.9296482205E+00,-3.9453125000E+00
+831.5000E-06,-2.1658291228E+00,+1.7738693275E+00,-3.9453125000E+00
+831.7500E-06,-2.3090452015E+00,+1.6884421930E+00,-4.0014648439E+00
